 Simulation Result by Fortran 90 Coding
 
    i         t      dt       q_inj       q_oil       q_wat          WC         WOR             Wi             Np             Wp     Error_w     Error_o     p_inj    p_prod
    0      0.10     0.1    39133.76    36194.49      581.14    0.015802    0.016056    0.39134E+01    0.36194E+01    0.58114E-01    0.51E-10   -0.26E-09   2289.56   2231.83
    1      0.30     0.2    39133.76    36194.05      581.58    0.015814    0.016068    0.11740E+02    0.10858E+02    0.17443E+00    0.51E-10   -0.26E-09   2307.95   2210.95
    2      0.70     0.4    39133.76    36193.38      582.25    0.015832    0.016087    0.27394E+02    0.25336E+02    0.40733E+00    0.51E-10   -0.26E-09   2339.77   2178.38
    3      1.31     0.6    39133.76    36192.48      583.15    0.015857    0.016112    0.51420E+02    0.47556E+02    0.76536E+00    0.51E-10   -0.26E-09   2384.01   2134.05
    4      2.01     0.7    39133.76    36191.57      584.06    0.015882    0.016138    0.78521E+02    0.72620E+02    0.11698E+01    0.51E-10   -0.26E-09   2429.52   2088.61
    5      2.77     0.8    39133.76    36190.68      584.95    0.015906    0.016163    0.10830E+03    0.10016E+03    0.16149E+01    0.51E-10   -0.26E-09   2475.09   2043.22
    6      3.60     0.8    39133.76    36189.81      585.82    0.015930    0.016187    0.14096E+03    0.13037E+03    0.21039E+01    0.51E-10   -0.26E-09   2520.61   1998.10
    7      4.52     0.9    39133.76    36188.96      586.67    0.015953    0.016211    0.17685E+03    0.16355E+03    0.26419E+01    0.51E-10   -0.26E-09   2566.05   1953.30
    8      5.53     1.0    39133.76    36188.14      587.49    0.015975    0.016234    0.21633E+03    0.20006E+03    0.32346E+01    0.51E-10   -0.26E-09   2611.41   1908.89
    9      6.64     1.1    39133.76    36187.36      588.27    0.015996    0.016256    0.25985E+03    0.24031E+03    0.38889E+01    0.51E-10   -0.26E-09   2656.79   1864.90
